PONTO	X	Y	CE_0_10	CE_10_30	CE_30_50	ph_0_10	ph_10_30	ph_30_50
P1	751400	9405174	3.18	6.18	5	8.05	7.97	7.61
P2	751350	9405164	42.84	20.99	6.76	7.06	7.07	7.18
P3	751302	9405154	51.46	31.41	37.49	6.51	6.25	6.09
P4	751253	9405148	25.81	23.74	30.53	6.83	6.63	6.19
P5	751205	9405140	38.32	29.96	28.37	7	6.07	4.45
P6	751201	9405190	96.49	60	25.96	6.47	7.02	7.32
P7	751252	9405198	0.98	14.2	17.66	7.99	7.48	6.85
P8	751302	9405204	15.94	23.9	23.09	7.37	7.19	7.14
P9	751352	9405214	47.83	22.38	17.85	7.06	6.95	7.18
P10	751401	9405222	55.29	12.14	7.7	7.18	7.61	7.69
P11	751392	9405272	1.75	4.73	3.44	8.16	7.25	7.78
P12	751343	9405268	4.28	9.31	19.41	7.85	7.28	6.55
P13	751296	9405258	0.97	2.72	12.52	8.33	7.85	6.28
P14	751244	9405250	1.48	1.45	0.33	8.31	8.12	7.77
P15	751196	9405242	4.34	1.32	0.31	8.34	7.94	7.33
P16	751189	9405290	5.41	1.36	24.18	7.34	6.85	6.93
P17	751244	9405300	1.37	2.52	7.47	7.96	7.57	6.41
P18	751293	9405308	0.49	0.45	3.66	8.14	7.57	7.59
P19	751342	9405316	4	4.63	5.81	7.91	7.56	7.5
P20	751392	9405326	23.54	0.8	1.49	7.57	8.11	8.11
P21	751389	9405374	1.61	1.56	1.17	8.43	8.29	8.27
P22	751341	9405366	0.88	0.45	0.48	8.21	8.1	8.04
P23	751292	9405358	3.86	7.93	6.85	8.2	7.76	7.75
P24	751243	9405344	4.02	2.35	6.4	7.85	7.48	7.44
P25	751190	9405344	83.31	35.5	34.37	6.92	6.97	6.77
P26	751187	9405390	5.08	10.23	21.27	7.82	7.32	7.33
P27	751237	9405400	1.44	2.29	4.73	8.35	7.57	7.55
P28	751291	9405404	2.19	3.6	4.13	8.12	7.85	7.59
P29	751338	9405410	4.23	5.36	3.59	7.91	7.64	7.64
P30	751393	9405426	6.4	4.27	3.12	7.93	7.84	7.77
P31	751389	9405472	31.61	2.39	4.82	8.04	8.17	8.29
P32	751336	9405464	53.78	8.18	4.29	7.15	7.6	7.85
P33	751285	9405458	101	21.24	17.19	6.62	7.56	7.56
P34	751236	9405448	46.03	18.63	19.01	7.57	7.68	7.53
P35	751187	9405438	27.56	9.49	11.75	7.84	8.02	6.95
